Kernel,Metric,Configuration,Value
_Z14float_to_colorPhPKf,issued_ipc,./heat_globalmem.out_issued_ipc_heat_globalmem.out,1.7612
_Z17copy_const_kernelPfS_,issued_ipc,./heat_globalmem.out_issued_ipc_heat_globalmem.out,0.426071
_Z12blend_kernelPfbS_S_,stall_memory_throttle,./heat_globalmem.out_stall_memory_throttle_heat_globalmem.out,0.0583798
_Z14float_to_colorPhPKf,stall_memory_throttle,./heat_globalmem.out_stall_memory_throttle_heat_globalmem.out,0.180335
_Z17copy_const_kernelPfS_,stall_memory_throttle,./heat_globalmem.out_stall_memory_throttle_heat_globalmem.out,0.192747
_Z12blend_kernelPfbS_S_,shared_load_throughput,./heat_globalmem.out_shared_load_throughput_heat_globalmem.out,0
_Z14float_to_colorPhPKf,shared_load_throughput,./heat_globalmem.out_shared_load_throughput_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,shared_load_throughput,./heat_globalmem.out_shared_load_throughput_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,dram_read_transactions,./heat_globalmem.out_dram_read_transactions_heat_globalmem.out,524489
_Z14float_to_colorPhPKf,dram_read_transactions,./heat_globalmem.out_dram_read_transactions_heat_globalmem.out,6672074
_Z17copy_const_kernelPfS_,dram_read_transactions,./heat_globalmem.out_dram_read_transactions_heat_globalmem.out,524756
_Z12blend_kernelPfbS_S_,stall_not_selected,./heat_globalmem.out_stall_not_selected_heat_globalmem.out,0.147203
_Z14float_to_colorPhPKf,stall_not_selected,./heat_globalmem.out_stall_not_selected_heat_globalmem.out,0.382477
_Z17copy_const_kernelPfS_,stall_not_selected,./heat_globalmem.out_stall_not_selected_heat_globalmem.out,0.069573
_Z12blend_kernelPfbS_S_,ldst_executed,./heat_globalmem.out_ldst_executed_heat_globalmem.out,2342344
_Z14float_to_colorPhPKf,ldst_executed,./heat_globalmem.out_ldst_executed_heat_globalmem.out,4069445
_Z17copy_const_kernelPfS_,ldst_executed,./heat_globalmem.out_ldst_executed_heat_globalmem.out,1054755
_Z12blend_kernelPfbS_S_,sysmem_write_throughput,./heat_globalmem.out_sysmem_write_throughput_heat_globalmem.out,569383
_Z14float_to_colorPhPKf,sysmem_write_throughput,./heat_globalmem.out_sysmem_write_throughput_heat_globalmem.out,9495252
_Z17copy_const_kernelPfS_,sysmem_write_throughput,./heat_globalmem.out_sysmem_write_throughput_heat_globalmem.out,599210
_Z12blend_kernelPfbS_S_,sysmem_write_transactions,./heat_globalmem.out_sysmem_write_transactions_heat_globalmem.out,5
_Z14float_to_colorPhPKf,sysmem_write_transactions,./heat_globalmem.out_sysmem_write_transactions_heat_globalmem.out,141
_Z17copy_const_kernelPfS_,sysmem_write_transactions,./heat_globalmem.out_sysmem_write_transactions_heat_globalmem.out,5
_Z12blend_kernelPfbS_S_,gld_throughput,./heat_globalmem.out_gld_throughput_heat_globalmem.out,495227892260
_Z14float_to_colorPhPKf,gld_throughput,./heat_globalmem.out_gld_throughput_heat_globalmem.out,2459981641237
_Z17copy_const_kernelPfS_,gld_throughput,./heat_globalmem.out_gld_throughput_heat_globalmem.out,89729248673
_Z12blend_kernelPfbS_S_,gld_transactions,./heat_globalmem.out_gld_transactions_heat_globalmem.out,6105077
_Z14float_to_colorPhPKf,gld_transactions,./heat_globalmem.out_gld_transactions_heat_globalmem.out,71871668
_Z17copy_const_kernelPfS_,gld_transactions,./heat_globalmem.out_gld_transactions_heat_globalmem.out,1048576
_Z12blend_kernelPfbS_S_,stall_constant_memory_dependency,./heat_globalmem.out_stall_constant_memory_dependency_heat_globalmem.out,0.00639367
_Z14float_to_colorPhPKf,stall_constant_memory_dependency,./heat_globalmem.out_stall_constant_memory_dependency_heat_globalmem.out,0.00377223
_Z17copy_const_kernelPfS_,stall_constant_memory_dependency,./heat_globalmem.out_stall_constant_memory_dependency_heat_globalmem.out,0.0375262
_Z12blend_kernelPfbS_S_,stall_inst_fetch,./heat_globalmem.out_stall_inst_fetch_heat_globalmem.out,1.31798
_Z14float_to_colorPhPKf,stall_inst_fetch,./heat_globalmem.out_stall_inst_fetch_heat_globalmem.out,5.15478
_Z17copy_const_kernelPfS_,stall_inst_fetch,./heat_globalmem.out_stall_inst_fetch_heat_globalmem.out,1.14314
_Z12blend_kernelPfbS_S_,sysmem_read_throughput,./heat_globalmem.out_sysmem_read_throughput_heat_globalmem.out,0
_Z14float_to_colorPhPKf,sysmem_read_throughput,./heat_globalmem.out_sysmem_read_throughput_heat_globalmem.out,80757183
_Z17copy_const_kernelPfS_,sysmem_read_throughput,./heat_globalmem.out_sysmem_read_throughput_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,achieved_occupancy,./heat_globalmem.out_achieved_occupancy_heat_globalmem.out,0.460461
_Z14float_to_colorPhPKf,achieved_occupancy,./heat_globalmem.out_achieved_occupancy_heat_globalmem.out,0.48447
_Z17copy_const_kernelPfS_,achieved_occupancy,./heat_globalmem.out_achieved_occupancy_heat_globalmem.out,0.156426
