,Unnamed: 0,Executable,Memtype,GPUBlockSize,NumSpheres,Dim,ExecTime,DataSize,NormExec,Improvement,SpeedUp
95,95,./const_global_mem.out,3,4,1000,20480,1178.2407142857146,1000_20480,1.7741903906332972,-77.4190390633297,0.5636373668121661
115,115,./const_global_mem.out,3,8,1000,20480,679.7915882352941,1000_20480,1.0236275905739414,-2.3627590573941473,0.9769177865158034
135,135,./const_global_mem.out,3,16,1000,20480,677.8892307692307,1000_20480,1.0207630279298936,-2.0763027929893654,0.9796593064582276
155,155,./const_global_mem.out,3,32,1000,20480,664.100493670886,1000_20480,1.0,0.0,1.0
16,16,./const_global_mem.out,2,4,2340,1024,39.886785714285715,2340_1024,3.1171895584397804,-211.71895584397802,0.32080179317055113
36,36,./const_global_mem.out,2,8,2340,1024,24.369929411764712,2340_1024,1.9045327454164813,-90.45327454164813,0.5250631696444373
56,56,./const_global_mem.out,2,16,2340,1024,21.459476923076924,2340_1024,1.6770781650183597,-67.70781650183598,0.5962751294833372
76,76,./const_global_mem.out,2,32,2340,1024,20.256652941176466,2340_1024,1.58307634737683,-58.307634737682974,0.631681473642764
96,96,./const_global_mem.out,3,4,2340,1024,16.30062142857143,2340_1024,1.2739087896727637,-27.39087896727636,0.7849855563496628
116,116,./const_global_mem.out,3,8,2340,1024,12.749098305084749,2340_1024,0.9963539403953238,0.3646059604676264,1.003659402002495
136,136,./const_global_mem.out,3,16,2340,1024,12.810553846153846,2340_1024,1.0011567483302897,-0.11567483302896883,0.9988445881903919
156,156,./const_global_mem.out,3,32,2340,1024,12.79575238095238,2340_1024,1.0,0.0,1.0
17,17,./const_global_mem.out,2,4,2340,4096,434.47378571428567,2340_4096,6.272199888531297,-527.2199888531297,0.15943369436112803
37,37,./const_global_mem.out,2,8,2340,4096,202.07735294117646,2340_4096,2.917252069669969,-191.72520696699692,0.34278834194575813
57,57,./const_global_mem.out,2,16,2340,4096,164.9813846153846,2340_4096,2.3817230319042695,-138.17230319042696,0.4198641011589268
77,77,./const_global_mem.out,2,32,2340,4096,145.79823529411766,2340_4096,2.1047890695094615,-110.47890695094617,0.4751069902852822
97,97,./const_global_mem.out,3,4,2340,4096,117.27428571428571,2340_4096,1.6930083838670236,-69.30083838670235,0.5906645292068113
117,117,./const_global_mem.out,3,8,2340,4096,70.76153529411764,2340_4096,1.0215357252323054,-2.1535725232305394,0.978918284793801
137,137,./const_global_mem.out,3,16,2340,4096,70.6675076923077,2340_4096,1.0201783132710254,-2.017831327102539,0.9802207976698435
157,157,./const_global_mem.out,3,32,2340,4096,69.26976075949365,2340_4096,1.0,0.0,1.0
18,18,./const_global_mem.out,2,4,2340,10240,2669.252857142857,2340_10240,6.813910333539018,-581.3910333539018,0.14675860864764545
38,38,./const_global_mem.out,2,8,2340,10240,1262.4576470588236,2340_10240,3.2227269829195815,-222.27269829195816,0.31029621972323107
58,58,./const_global_mem.out,2,16,2340,10240,1029.8853846153847,2340_10240,2.6290303092915264,-162.90303092915266,0.3803683801079802
78,78,./const_global_mem.out,2,32,2340,10240,873.2917058823529,2340_10240,2.229287256537799,-122.92872565377988,0.4485738646140439
98,98,./const_global_mem.out,3,4,2340,10240,691.8059285714287,2340_10240,1.7660011313211186,-76.60011313211187,0.5662510528812148
118,118,./const_global_mem.out,3,8,2340,10240,400.9667647058823,2340_10240,1.023564168573969,-2.3564168573968964,0.9769783182164352
138,138,./const_global_mem.out,3,16,2340,10240,399.9064615384616,2340_10240,1.0208574895533438,-2.0857489553343838,0.9795686569704557
158,158,./const_global_mem.out,3,32,2340,10240,391.735835443038,2340_10240,1.0,0.0,1.0
19,19,./const_global_mem.out,2,4,2340,20480,10647.128571428571,2340_20480,6.900753853521949,-590.075385352195,0.14491170402920955
39,39,./const_global_mem.out,2,8,2340,20480,5094.266470588235,2340_20480,3.3017614788756724,-230.17614788756723,0.3028686373615709
59,59,./const_global_mem.out,2,16,2340,20480,4150.5992307692295,2340_20480,2.690139735235013,-169.01397352350128,0.37172790204990563
79,79,./const_global_mem.out,2,32,2340,20480,3478.50294117647,2340_20480,2.2545320472813826,-125.45320472813826,0.4435510247928591
99,99,./const_global_mem.out,3,4,2340,20480,2741.477857142857,2340_20480,1.7768418743238037,-77.68418743238038,0.5627962816784474
119,119,./const_global_mem.out,3,8,2340,20480,1579.1470588235293,2340_20480,1.02349709392043,-2.3497093920429974,0.9770423442723944
139,139,./const_global_mem.out,3,16,2340,20480,1574.8592307692306,2340_20480,1.0207180116758197,-2.071801167581961,0.9797025119192276
159,159,./const_global_mem.out,3,32,2340,20480,1542.8935443037979,2340_20480,1.0,0.0,1.0
